id,r2score,duration (min),optimizer,neurons_width,hidden_layers,activation,batch_normalization,batch_size,epochs
ftpeN,0,20.20,Adam,64,32,LeakyReLU_0.01,BatchNorm,30,60
D5Ehi,0,20.61,Adam,16,32,LeakyReLU_0.1,BatchNorm,10,20
O8s9m,0,12.67,Adam,128,4,relu,BatchNorm,10,60
gLva0,0,49.92,Adam,64,32,LeakyReLU_0.01,BatchNorm,10,60
rRzfC,0,30.16,Adam,16,32,LeakyReLU_0.1,BatchNorm,20,60
wWxTh,0,17.19,Adam,64,32,relu,BatchNorm,10,20
atXAx,0,21.32,Adam,32,32,relu,BatchNorm,10,20
WAhSD,0,27.24,Adam,64,32,LeakyReLU_0.1,BatchNorm,20,60
vNZva,0,27.31,Adam,64,16,relu,BatchNorm,10,60
vAGj8,0,19.25,Adam,128,16,relu,BatchNorm,20,60
xGawJ,0,20.77,Adam,16,32,LeakyReLU_0.05,BatchNorm,10,20
dKlQ7,0,13.05,Adam,128,32,relu,BatchNorm,20,20
KR5ox,0,27.40,Adam,64,16,relu,BatchNorm,10,60
wcmtH,0,14.62,Adam,128,32,LeakyReLU_0.05,none,20,60
JxeEA,0,62.78,Adam,16,32,LeakyReLU_0.01,BatchNorm,10,60
sWuIV,0,21.24,Adam,32,32,LeakyReLU_0.1,BatchNorm,10,20
HtOHG,0,3.50,Adam,16,2,LeakyReLU_0.01,BatchNorm,10,20
L19nX,0,22.35,Adam,32,32,LeakyReLU_0.1,BatchNorm,10,20
weQu7,0,55.00,Adam,64,32,relu,BatchNorm,10,60
VPuBR,0,27.33,Adam,128,32,relu,BatchNorm,30,60
kruAz,0,33.71,Adam,128,16,relu,BatchNorm,10,60
Uqj3Y,0,52.16,Adam,64,32,relu,BatchNorm,10,60
DlHiW,0,27.50,Adam,64,16,LeakyReLU_0.01,BatchNorm,10,60
aB3YF,0,27.66,Adam,64,32,LeakyReLU_0.01,BatchNorm,20,60
HWfHe,0,13.21,Adam,128,32,LeakyReLU_0.01,BatchNorm,20,20
aUIoz,0,36.09,Adam,128,32,LeakyReLU_0.05,BatchNorm,20,60
n88dJ,0,27.75,Adam,64,16,LeakyReLU_0.01,BatchNorm,10,60
nApHC,0,13.04,Adam,128,32,relu,BatchNorm,20,20
Ys9HQ,0,8.92,Adam,16,2,LeakyReLU_0.01,BatchNorm,10,60
