Date;Year;Month;Day;Weekday;Holiday_name;Type;Details
2017-10-08;2017;10;8;Sunday;Chicago Marathon;Sporting event; 
2017-10-09;2017;10;9;Monday;Leif Erikson Day;Observance; 
2017-10-09;2017;10;9;Monday;Columbus Day;Local observance;Florida, Vermont
2017-10-09;2017;10;9;Monday;Columbus Day;Federal Holiday;All except AK, AR, CA, DE, FL, HI, MI, MN, ND, NM, NV, OR, SD, TX, VT, WA, WY
2017-10-09;2017;10;9;Monday;Native Americans' Day;Local observance;South Dakota
2017-10-09;2017;10;9;Monday;Indigenous People's Day;Local observance;AK, CA*, MN*, NM, VT, WA*
2017-10-11;2017;10;11;Wednesday;Last Day of Sukkot;Jewish holiday; 
2017-10-12;2017;10;12;Thursday;Shmini Atzeret;Jewish holiday; 
2017-10-13;2017;10;13;Friday;Simchat Torah;Jewish holiday; 
2017-10-13;2017;10;13;Friday;Navy Birthday;Observance; 
2017-10-15;2017;10;15;Sunday;White Cane Safety Day;Observance; 
2017-10-16;2017;10;16;Monday;Boss's Day;Observance; 
2017-10-18;2017;10;18;Wednesday;Alaska Day;State holiday;Alaska
2017-10-18;2017;10;18;Wednesday;Diwali/Deepavali;Observance, Hinduism; 
2017-10-21;2017;10;21;Saturday;Sweetest Day;Observance;13 states
2017-10-27;2017;10;27;Friday;Nevada Day;State holiday;Nevada
2017-10-31;2017;10;31;Tuesday;Halloween;Observance; 
2017-11-01;2017;11;1;Wednesday;All Saints' Day;Christian; 
2017-11-02;2017;11;2;Thursday;All Souls' Day;Christian; 
2017-11-05;2017;11;5;Sunday;Daylight Saving Time ends;Clock change/Daylight Saving Time; 
2017-11-05;2017;11;5;Sunday;New York City Marathon;Sporting event; 
2017-11-07;2017;11;7;Tuesday;Election Day;Observance; 
2017-11-07;2017;11;7;Tuesday;Election Day;State holiday;New Jersey, Virginia
2017-11-10;2017;11;10;Friday;Marine Corps Birthday;Observance; 
2017-11-10;2017;11;10;Friday;Veterans Day observed;Federal Holiday; 
2017-11-11;2017;11;11;Saturday;Veterans Day;Federal Holiday; 
2017-11-23;2017;11;23;Thursday;Thanksgiving Day;Federal Holiday; 
2017-11-24;2017;11;24;Friday;State Holiday;State holiday;Georgia
2017-11-24;2017;11;24;Friday;Presidents' Day;State holiday;New Mexico
2017-11-24;2017;11;24;Friday;Lincoln's Birthday/Lincoln's Day;State holiday;Indiana
2017-11-24;2017;11;24;Friday;Day After Thanksgiving;State holiday;20 states
2017-11-24;2017;11;24;Friday;Family Day;State holiday;Nevada
2017-11-24;2017;11;24;Friday;Acadian Day;State holiday;Louisiana
2017-11-24;2017;11;24;Friday;Black Friday;Observance; 
2017-11-24;2017;11;24;Friday;American Indian Heritage Day;State holiday;Maryland
2017-11-27;2017;11;27;Monday;Cyber Monday;Observance; 
2017-12-01;2017;12;1;Friday;The Prophet's Birthday;Muslim; 
2017-12-01;2017;12;1;Friday;Rosa Parks Day;Local observance;Ohio, Oregon
2017-12-03;2017;12;3;Sunday;First Sunday of Advent;Christian; 
2017-12-06;2017;12;6;Wednesday;St Nicholas Day;Observance; 
2017-12-07;2017;12;7;Thursday;Pearl Harbor Remembrance Day;Observance; 
2017-12-08;2017;12;8;Friday;Feast of the Immaculate Conception;Christian; 
2017-12-12;2017;12;12;Tuesday;Feast of Our Lady of Guadalupe;Christian; 
2017-12-13;2017;12;13;Wednesday;Chanukah/Hanukkah (first day);Jewish holiday; 
2017-12-13;2017;12;13;Wednesday;National Guard Birthday;Observance; 
2017-12-15;2017;12;15;Friday;Bill of Rights Day;Observance; 
2017-12-17;2017;12;17;Sunday;Pan American Aviation Day;Observance; 
2017-12-17;2017;12;17;Sunday;Wright Brothers Day;Observance; 
2017-12-20;2017;12;20;Wednesday;Last Day of Chanukah;Jewish holiday; 
2017-12-21;2017;12;21;Thursday;December Solstice;Season; 
2017-12-24;2017;12;24;Sunday;Christmas Eve;Observance, Christian; 
2017-12-24;2017;12;24;Sunday;Christmas Eve;State holiday;KS*, KY, MI, NC, ND, OK, SC, TX, VA*, WI
2017-12-25;2017;12;25;Monday;Christmas Day;Federal Holiday; 
2017-12-25;2017;12;25;Monday;Christmas Eve observed;State holiday;KS*, KY, MI, NC, ND, OK, SC, TX, VA*, WI
2017-12-26;2017;12;26;Tuesday;Kwanzaa (first day);Observance; 
2017-12-26;2017;12;26;Tuesday;Day After Christmas Day;State holiday;KS, NC, SC, TX
2017-12-26;2017;12;26;Tuesday;Washington's Birthday;State holiday;Georgia, Indiana
2017-12-31;2017;12;31;Sunday;New Year's Eve;Observance; 
2017-12-31;2017;12;31;Sunday;New Year's Eve;State holiday;LA, MI, WI
